144# Number of sensors
#x	z
46	62	54	37	-1.46	0.0368493
45	61	44	60	86.77	0.0301152
45	61	60	43	-60.42	0.0301655
45	61	43	59	36.67	0.0302727
45	61	59	42	-27.34	0.0303658
45	61	42	58	18.85	0.0305305
45	61	58	41	-14.64	0.0306831
45	61	41	57	10.76	0.0309294
45	61	57	40	-8.66	0.0311547
45	61	40	56	6.04	0.0316556
45	61	56	39	-4.95	0.0320202
45	61	39	55	3.9	0.0325641
45	61	55	38	-3.3	0.0330303
45	61	38	54	2.66	0.0337594
45	61	54	37	-2.34	0.0342735
45	61	37	53	1.95	0.0351282
45	61	53	36	-1.72	0.035814
44	60	43	59	89.84	0.0301113
44	60	59	42	-62.08	0.0301611
44	60	42	58	38.57	0.0302593
44	60	58	41	-28.43	0.0303517
44	60	41	57	19.97	0.0305008
44	60	57	40	-15.46	0.0306468
44	60	40	56	11.32	0.0308834
44	60	56	39	-8.99	0.0311123
44	60	39	55	6.47	0.0315456
44	60	55	38	-5.33	0.0318762
44	60	38	54	4.23	0.0323641
44	60	54	37	-3.64	0.0327473
44	60	37	53	3	0.0333333
44	60	53	36	-2.61	0.0338314
44	60	36	52	2.25	0.0344444
44	60	52	35	-2.03	0.0349261
43	59	42	58	92.56	0.030108
43	59	58	41	-63.98	0.0301563
43	59	41	57	40.02	0.0302499
43	59	57	40	-29.61	0.0303377
43	59	40	56	20.37	0.0304909
43	59	56	39	-15.68	0.0306378
43	59	39	55	11.78	0.0308489
43	59	55	38	-9.5	0.0310526
43	59	38	54	6.75	0.0314815
43	59	54	37	-5.68	0.0317606
43	59	37	53	4.59	0.0321786
43	59	53	36	-3.9	0.0325641
43	59	36	52	3.33	0.033003
43	59	52	35	-2.96	0.0333784
43	59	35	51	2.56	0.0339062
43	59	51	34	-2.41	0.0341494
42	58	41	57	94.63	0.0301057
42	58	57	40	-65.49	0.0301527
42	58	40	56	39.71	0.0302518
42	58	56	39	-29.15	0.0303431
42	58	39	55	21.05	0.0304751
42	58	55	38	-16.52	0.0306053
42	58	38	54	12.14	0.0308237
42	58	54	37	-9.98	0.031002
42	58	37	53	7.13	0.0314025
42	58	53	36	-5.93	0.0316863
42	58	36	52	4.95	0.0320202
42	58	52	35	-4.33	0.0323095
42	58	35	51	3.68	0.0327174
42	58	51	34	-3.44	0.032907
42	58	34	50	3.15	0.0331746
42	58	50	33	-2.88	0.0334722
41	57	40	56	92.97	0.0301076
41	57	56	39	-62.97	0.0301588
41	57	39	55	42.76	0.0302339
41	57	55	38	-32.24	0.0303102
41	57	38	54	21.96	0.0304554
41	57	54	37	-17.4	0.0305747
41	57	37	53	13.04	0.0307669
41	57	53	36	-10.52	0.0309506
41	57	36	52	7.7	0.0312987
41	57	52	35	-6.59	0.0315175
41	57	35	51	5.45	0.0318349
41	57	51	34	-5.03	0.0319881
41	57	34	50	4.58	0.0321834
41	57	50	33	-4.15	0.0324096
41	57	33	49	3.96	0.0325253
40	56	39	55	94.81	0.0301055
40	56	55	38	-64.89	0.0301541
40	56	38	54	42.58	0.0302349
40	56	54	37	-31.64	0.0303161
40	56	37	53	23.05	0.0304338
40	56	53	36	-17.4	0.0305747
40	56	36	52	14.01	0.0307138
40	56	52	35	-11.64	0.0308591
40	56	35	51	8.45	0.0311834
40	56	51	34	-7.68	0.0313021
40	56	34	50	6.9	0.0314493
40	56	50	33	-6.21	0.0316103
40	56	33	49	5.88	0.0317007
39	55	38	54	111.55	0.0300896
39	55	54	37	-77.86	0.0301284
39	55	37	53	48.81	0.0302049
39	55	53	36	-35.43	0.0302822
39	55	36	52	26.04	0.030384
39	55	52	35	-20.84	0.0304798
39	55	35	51	15.82	0.0306321
39	55	51	34	-14.12	0.0307082
39	55	34	50	11.07	0.0309033
39	55	50	33	-9.87	0.0310132
39	55	33	49	9.23	0.0310834
38	54	37	53	119.38	0.0300838
38	54	53	36	-79.89	0.0301252
38	54	36	52	51.78	0.0301931
38	54	52	35	-39.2	0.0302551
38	54	35	51	27.36	0.0303655
38	54	51	34	-23.86	0.0304191
38	54	34	50	20.29	0.0304929
38	54	50	33	-17.88	0.0305593
38	54	33	49	14.64	0.0306831
37	53	36	52	122.61	0.0300816
37	53	52	35	-87.08	0.0301148
37	53	35	51	50.86	0.0301966
37	53	51	34	-42.93	0.0302329
37	53	34	50	34.73	0.0302879
37	53	50	33	-30.16	0.0303316
37	53	33	49	27.12	0.0303687
34	50	33	49	277.23	0.0300361
64	80	63	79	45.92	0.0302178
64	80	79	62	-28.82	0.030347
64	80	62	78	18.56	0.0305388
64	80	78	61	-12.95	0.0307722
64	80	61	77	9.03	0.0311074
64	80	77	60	-6.62	0.0315106
64	80	60	76	5.13	0.0319493
64	80	76	59	-3.87	0.032584
64	80	59	75	3.07	0.0332573
64	80	75	58	-2.36	0.0342373
64	80	58	74	1.99	0.0350251
64	80	74	57	-1.56	0.0364103
64	80	57	73	1.35	0.0374074
64	80	73	56	-1.06	0.039434
64	80	56	72	0.94	0.0406383
64	80	72	55	-0.76	0.0431579
63	79	62	78	77.27	0.0301294
63	79	78	61	-57.34	0.0301744
63	79	61	77	29.1	0.0303436
63	79	77	60	-22.19	0.0304507
63	79	60	76	14.71	0.0306798
63	79	76	59	-11.49	0.0308703
63	79	59	75	8.28	0.0312077
63	79	75	58	-6.61	0.0315129
63	79	58	74	4.48	0.0322321
63	79	74	57	-3.64	0.0327473
63	79	57	73	2.85	0.0335088
63	79	73	56	-2.33	0.0342918
63	79	56	72	1.91	0.0352356
63	79	72	55	-1.59	0.0362893
63	79	55	71	1.34	0.0374627
63	79	71	54	-1.13	0.0388496
62	78	61	77	77.81	0.0301285
62	78	77	60	-56.01	0.0301785
62	78	60	76	32.58	0.0303069
62	78	76	59	-24.54	0.0304075
62	78	59	75	16.74	0.0305974
62	78	75	58	-13.03	0.0307675
62	78	58	74	9.58	0.0310438
62	78	74	57	-7.64	0.0313089
62	78	57	73	5.25	0.0319048
62	78	73	56	-4.19	0.0323866
62	78	56	72	3.37	0.0329674
62	78	72	55	-2.77	0.0336101
62	78	55	71	2.3	0.0343478
62	78	71	54	-1.92	0.0352083
62	78	54	70	1.63	0.036135
62	78	70	53	-1.39	0.0371942
61	77	60	76	87.29	0.0301146
61	77	76	59	-63.62	0.0301572
61	77	59	75	35.94	0.0302782
61	77	75	58	-27.39	0.0303651
61	77	58	74	18.53	0.0305397
61	77	74	57	-14.62	0.030684
61	77	57	73	10.59	0.0309443
61	77	73	56	-8.4	0.0311905
61	77	56	72	5.87	0.0317036
61	77	72	55	-4.8	0.0320833
61	77	55	71	3.87	0.032584
61	77	71	54	-3.21	0.0331153
61	77	54	70	2.64	0.0337879
61	77	70	53	-2.25	0.0344444
61	77	53	69	1.89	0.035291
61	77	69	52	-1.65	0.0360606
60	76	59	75	89.01	0.0301123
60	76	75	58	-65.38	0.030153
60	76	58	74	36.86	0.0302713
60	76	74	57	-28.32	0.0303531
60	76	57	73	19.02	0.0305258
60	76	73	56	-14.8	0.0306757
60	76	56	72	10.9	0.0309174
60	76	72	55	-8.83	0.0311325
60	76	55	71	6.22	0.0316077
60	76	71	54	-5.1	0.0319608
60	76	54	70	4.09	0.032445
60	76	70	53	-3.44	0.032907
60	76	53	69	2.82	0.0335461
60	76	69	52	-2.46	0.034065
60	76	52	68	2.11	0.0347393
60	76	68	51	-1.83	0.0354645
59	75	58	74	91.48	0.0301093
59	75	74	57	-67.33	0.0301485
59	75	57	73	37.67	0.0302655
59	75	73	56	-28.31	0.0303532
59	75	56	72	19.38	0.030516
59	75	72	55	-15.42	0.0306485
59	75	55	71	11.55	0.0308658
59	75	71	54	-9.32	0.031073
59	75	54	70	6.53	0.0315314
59	75	70	53	-5.43	0.0318416
59	75	53	69	4.33	0.0323095
59	75	69	52	-3.74	0.0326738
59	75	52	68	3.15	0.0331746
59	75	68	51	-2.7	0.0337037
59	75	51	67	2.36	0.0342373
59	75	67	50	-2.19	0.0345662
58	74	57	73	91.06	0.0301098
58	74	73	56	-65.01	0.0301538
58	74	56	72	37.24	0.0302685
58	74	72	55	-29.09	0.0303438
58	74	55	71	20.35	0.0304914
58	74	71	54	-15.94	0.0306274
